epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
222,PANDABYTE,2,9.13,218756060,0.69,0.69,0.69
223,PANDABYTE,2,9.13,218834108,0.69,0.69,0.69
224,PANDABYTE,2,9.13,218783488,0.69,0.69,0.69
225,PANDABYTE,2,9.37,221500580,0.69,0.69,0.69
226,PANDABYTE,2,9.35,221681979,0.69,0.69,0.69
227,PANDABYTE,2,9.33,221954259,0.69,0.69,0.69
228,PANDABYTE,2,9.26,222009918,0.69,0.69,0.69
229,PANDABYTE,2,9.24,221919090,0.69,0.69,0.69
230,PANDABYTE,2,9.24,222025800,0.69,0.69,0.69
231,PANDABYTE,2,9.25,222145398,0.69,0.69,0.69
232,PANDABYTE,2,9.32,224116906,0.69,0.69,0.69
233,PANDABYTE,2,9.32,224034287,0.69,0.69,0.69
234,PANDABYTE,2,9.32,224218065,0.69,0.69,0.69
235,PANDABYTE,2,9.31,224214787,0.69,0.69,0.69
236,PANDABYTE,2,9.3,224007151,0.69,0.69,0.69
237,PANDABYTE,2,9.52,224227635,0.69,0.69,0.69
238,PANDABYTE,2,9.52,224322670,0.69,0.69,0.69
239,PANDABYTE,2,9.53,224168155,0.66,0.66,0.66
240,PANDABYTE,2,9.51,223502639,0.66,0.66,0.66
241,PANDABYTE,2,9.52,223763857,0.66,0.66,0.66
242,PANDABYTE,2,9.74,229216201,0.66,0.66,0.66
243,PANDABYTE,2,9.76,230118578,0.66,0.66,0.66
244,PANDABYTE,2,9.83,231812104,0.66,0.66,0.66
245,PANDABYTE,2,9.84,232372681,0.66,0.66,0.66
246,PANDABYTE,2,9.89,233713154,0.66,0.66,0.66
247,PANDABYTE,2,9.91,234108413,0.66,0.66,0.66
248,PANDABYTE,2,9.88,233675812,0.6,0.6,0.6
249,PANDABYTE,2,9.88,233879168,0.6,0.6,0.6
250,PANDABYTE,2,9.9,234008139,0.6,0.6,0.6
251,PANDABYTE,2,9.93,234684955,0.6,0.6,0.6
252,PANDABYTE,2,9.93,235204780,0.6,0.6,0.6
253,PANDABYTE,2,10.02,243074719,0.6,0.6,0.6
254,PANDABYTE,2,10.02,243182885,0.6,0.6,0.6
255,PANDABYTE,2,10.05,244117517,0.6,0.6,0.6
256,PANDABYTE,2,10.06,244548632,0.6,0.6,0.6
257,PANDABYTE,2,10.1,244712836,0.6,0.6,0.6
258,PANDABYTE,2,10.1,245049343,0.6,0.6,0.6
259,PANDABYTE,2,10.11,245284117,0.6,0.6,0.6
260,PANDABYTE,2,10.1,245432941,0.6,0.6,0.6
