epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
167,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.64,155994267,0.69,0.69
168,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.63,156036239,0.69,0.69
169,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.63,156162003,0.69,0.69
170,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.63,156189672,0.69,0.69
171,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.63,156332650,0.69,0.69
172,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.61,155898702,0.69,0.69
173,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.61,155891027,0.69,0.69
174,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.61,155955915,0.69,0.69
175,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.61,155990639,0.69,0.69
176,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.6,156067840,0.69,0.69
177,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.6,156113987,0.69,0.69
178,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.68,156177689,0.69,0.69
179,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.79,156004060,0.69,0.69
180,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.64,156131094,0.69,0.69
181,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.67,156404515,0.69,0.69
182,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.66,156603740,0.69,0.69
183,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.75,155950024,0.69,0.69
184,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.73,155519054,0.69,0.69
185,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.74,155204048,0.69,0.69
186,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.75,155261108,0.69,0.69
